,issuercountry,txvariantcode,issuer_id,amount,currencycode,shoppercountry,interaction,verification,cvcresponse,creationdate_stamp,accountcode,mail_id,ip_id,card_id,label,creationdate
154230,AU,mccredit,535316.0,56200.0,AUD,AU,Ecommerce,TRUE,0,1440606799.0,APACAccount,236460,145321,227593,1,2015-8-26
156156,MX,visaclassic,477291.0,129900.0,MXN,MX,Ecommerce,TRUE,0,1440630223.0,MexicoAccount,115383,112402,108146,1,2015-8-27
156157,MX,visaplatinum,477214.0,79900.0,MXN,MX,Ecommerce,TRUE,0,1440660153.0,MexicoAccount,221682,85090,184037,1,2015-8-27
156158,MX,visadebit,421316.0,329900.0,MXN,MX,Ecommerce,TRUE,0,1440701904.0,MexicoAccount,92612,66236,17825,1,2015-8-27
156233,AU,visaplatinum,456472.0,52000.0,AUD,AU,Ecommerce,TRUE,0,1440653301.0,APACAccount,30033,5862,6643,1,2015-8-27
157994,SE,mcdebit,554501.0,118500.0,SEK,SE,Ecommerce,TRUE,1,1440647521.0,SwedenAccount,85899,227678,68415,1,2015-8-27
157995,SE,mcdebit,554501.0,118500.0,SEK,SE,Ecommerce,TRUE,1,1440647821.0,SwedenAccount,85899,227678,68415,1,2015-8-27
157996,SE,mcdebit,554501.0,268500.0,SEK,SE,Ecommerce,TRUE,1,1440649800.0,SwedenAccount,85899,227678,68415,1,2015-8-27
157997,SE,visadebit,453903.0,180000.0,SEK,SE,Ecommerce,TRUE,1,1440706870.0,SwedenAccount,18312,71717,146515,1,2015-8-27
158172,MX,visagold,477213.0,139900.0,MXN,MX,Ecommerce,TRUE,0,1440717629.0,MexicoAccount,85746,79980,79066,1,2015-8-28
158173,MX,visaclassic,420199.0,189900.0,MXN,MX,Ecommerce,TRUE,0,1440732909.0,MexicoAccount,85714,84052,195152,1,2015-8-28
158174,MX,visaclassic,420199.0,184800.0,MXN,MX,Ecommerce,TRUE,0,1440739730.0,MexicoAccount,85745,79997,180625,1,2015-8-28
158409,US,mccredit,528725.0,5500.0,GBP,GB,ContAuth,FALSE,0,1440776777.0,UKAccount,325211,172354,10824,1,2015-8-28
160325,SE,visadebit,453903.0,310000.0,SEK,SE,Ecommerce,TRUE,1,1440715136.0,SwedenAccount,40112,71719,146515,1,2015-8-28
160326,SE,mcdebit,554501.0,380000.0,SEK,SE,Ecommerce,TRUE,1,1440786760.0,SwedenAccount,295379,199899,60639,1,2015-8-28
